,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
10,1371,1348,1398,1583,1789,321,481,1976,1371,885,1398,1789,885,1537,1348,1398,204,1371,1583,1857,1805,703,204,701,1583,481,703,321,321,1857,759,1174,1174,200,1628,759,204,1628,481,481,1348,1976,1976,321,759,1857,1628,1805,200,885,321,1174,1174,701,759,703,200,200,200,1398,1174,701,1174,1537,1398,1628,1789,200,1789,1537,1976,200,200,1628,759,204,701,321,1371,1537,1174,1537,885,200,481,1789,200,1789,1398,701,204,1857,1174,1348,321,1857,1174,1348,1371,1398,1537.0,1583.0,1371.0,1537.0,759.0,703.0,759.0,481.0,1628.0,1537.0,200.0,481.0,1805.0,703.0,1174.0,1805.0,759.0,1174.0,1398.0,1857.0,200.0,1628.0,1976.0,1976.0,1976.0,1371.0,204.0,1805.0,481.0,1398.0,1857.0,759.0,1628.0,204.0,1789.0,1628.0,1174.0,703.0,1398.0,204.0,204.0,321.0,1789.0,200.0,1628.0,759.0,1398.0,1398.0,1537.0,200.0,1371.0,204.0,1583.0,759.0,885.0,1348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1192,1778,1465,1778,1522,191,1196,1522,154,528,528,1439,604,1778,154,1155,1522,253,1439,604,1778,1522,253,604,336,1239,1239,1778,604,1192,1522,1192,1239,670,1439,336,1155,40,1844,40,154,1465,336,604,1778,1522,604,528,336,528,1844,154,1465,1844,1778,670,1778,1778,1844,1522,336,670,1192,154,1465,253,1192,1239,1192,253,1239,1439,40,670,253,1844,191,1522,861,670,1155,1439,154,1522,191,40,40,1465,1155,861,1196,1155,253,40,604,1778,154,1465,336,1778,1522.0,1465.0,191.0,253.0,1844.0,528.0,1465.0,1196.0,604.0,1155.0,1196.0,528.0,1439.0,528.0,154.0,528.0,154.0,1778.0,1155.0,1778.0,861.0,154.0,40.0,40.0,1196.0,1465.0,154.0,1844.0,40.0,1844.0,1778.0,1844.0,1239.0,40.0,40.0,1844.0,604.0,670.0,1522.0,1155.0,40.0,336.0,1196.0,154.0,154.0,1522.0,1239.0,40.0,1196.0,1239.0,1196.0,670.0,1522.0,1465.0,40.0,253.0,1439.0,191.0,1844.0,154.0,191.0,253.0,1522.0,861.0,861.0,528.0,1155.0,1192.0,1465.0,1844.0,154.0,1196.0,1155.0,1239.0,1196.0,191.0,1522.0,1192.0,191.0,861.0,528.0,1465.0,1192.0,336.0,1196.0,1465.0,191.0,1155.0,154.0,1522.0,1196.0,861.0,1196.0,1192.0,,,,,
12,1539,1529,1018,518,1133,518,480,1636,1018,1539,1134,1018,492,1018,1133,1018,1134,60,518,1018,1636,1133,1539,492,797,1198,1133,1134,518,1134,492,1539,1636,60,492,1018,1133,492,797,1529,1539,1133,480,1018,480,1529,1198,1018,1529,1529,480,1529,797,1018,492,1134,480,1529,1636,1133,1539,1018,60,1198,480,1133,797,60,518,797,1539,518,480,1636,518,1539,1529,1133,1134,492,1198,480,1636,1539,1198,1134,60,492,60,1198,1133,492,1018,1018,518,797,480,60,1134,1529,1198.0,1198.0,492.0,518.0,1636.0,797.0,1529.0,492.0,518.0,1539.0,518.0,1636.0,797.0,797.0,1134.0,60.0,518.0,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,905,1544,1707,905,551,1964,1766,1887,1209,37,37,1707,551,551,639,206,1887,905,1964,1430,1441,1073,1887,395,935,206,1430,1209,1964,935,1766,639,395,905,1441,395,905,935,37,639,395,935,1544,1544,1766,1766,1964,1766,935,253,1766,253,253,1073,1964,37,1964,551,1707,1544,639,1441,1544,935,1430,37,1073,1766,1544,1964,1430,1964,206,253,1441,1430,1544,1544,1766,1441,1073,551,551,37,1964,1544,1209,1707,1430,1964,1707,395,1430,1887,935,1544,1707,206,1766,1766,1441.0,395.0,1964.0,639.0,639.0,1707.0,37.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,185,788,1795,36,636,354,36,636,185,636,216,636,36,788,354,788,1036,128,636,375,185,705,1416,375,185,1416,354,1416,1795,1795,705,636,636,1746,741,788,185,1416,741,375,185,128,636,185,723,1416,723,375,36,354,1036,788,1416,1036,36,375,723,854,1036,1036,741,216,185,185,788,36,1795,741,1036,216,185,375,1795,854,741,1416,36,741,705,185,854,1036,1795,854,741,216,354,36,723,1746,354,854,741,1746,854,128,354,1036,354,1036,741.0,741.0,128.0,375.0,216.0,216.0,741.0,636.0,741.0,705.0,216.0,1746.0,1746.0,1746.0,723.0,375.0,354.0,36.0,1036.0,1416.0,854.0,354.0,1416.0,788.0,1036.0,723.0,1036.0,1795.0,1036.0,354.0,705.0,636.0,705.0,354.0,128.0,636.0,788.0,1036.0,705.0,1416.0,216.0,1746.0,216.0,705.0,1416.0,741.0,788.0,36.0,354.0,854.0,705.0,216.0,788.0,354.0,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,644,1924,1983,1502,247,812,644,1657,1657,43,1613,2,1613,1657,644,1924,43,247,1839,1502,1059,850,1613,1657,1059,1613,1839,1657,1657,911,1059,1657,911,812,1839,1797,1983,1059,850,1502,911,2,850,1502,1502,2,911,1613,1657,1059,247,247,911,2,1657,644,247,43,43,1657,1502,1059,43,1657,812,850,43,1059,812,1797,247,1839,1839,911,247,1839,1797,1983,850,850,2,1613,1613,911,1502,1059,1502,1059,911,1797,644,1613,1657,812,911,1657,2,1983,2,43,850.0,1924.0,1613.0,911.0,2.0,1983.0,1657.0,1657.0,2.0,2.0,1613.0,247.0,1657.0,1839.0,1983.0,1983.0,43.0,1613.0,1839.0,644.0,1657.0,43.0,1839.0,1983.0,1839.0,1924.0,911.0,812.0,1502.0,812.0,1839.0,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1576,1227,1295,531,1742,1295,1926,625,713,213,165,1227,531,1742,1926,625,531,213,1007,277,501,54,277,1742,1007,1742,501,531,695,472,472,1576,501,213,1426,1681,501,1295,1227,277,1295,1742,531,1762,54,695,1926,1227,1576,1926,531,625,213,1576,713,1742,1926,531,695,1227,1762,1576,213,531,1681,472,625,1295,1295,501,1742,1007,1762,1576,165,213,54,531,277,531,54,277,1426,1576,1762,713,1681,625,1576,1681,213,165,531,1426,1762,501,165,1762,1007,1007,1681.0,1227.0,713.0,1007.0,213.0,695.0,165.0,501.0,1295.0,695.0,1762.0,1426.0,1576.0,1007.0,1227.0,713.0,531.0,54.0,1762.0,1007.0,695.0,165.0,625.0,277.0,1762.0,1576.0,1762.0,1742.0,1227.0,1227.0,625.0,472.0,695.0,1742.0,54.0,1926.0,1742.0,713.0,1742.0,472.0,625.0,695.0,1762.0,695.0,1742.0,1426.0,1576.0,165.0,531.0,472.0,1681.0,531.0,1007.0,1762.0,1576.0,1007.0,1926.0,1742.0,501.0,1227.0,713.0,472.0,165.0,213.0,501.0,1926.0,1576.0,501.0,1762.0,472.0,1681.0,472.0,531.0,1426.0,1576.0,,,,,,,,,,,,,,,,,,,,,,,,
17,512,1604,1067,1048,1067,1648,512,1067,911,1620,1620,1620,882,552,640,1648,882,512,640,386,8,911,882,882,8,640,1604,1048,882,1048,882,1620,386,512,1648,1067,8,8,1648,882,8,552,1620,882,1648,882,512,1430,1048,1067,1648,552,911,882,1721,8,1430,512,1067,386,1067,882,386,1648,1620,1048,1067,640,512,640,1648,640,1721,1721,1992,1721,640,1620,386,8,1648,911,8,512,1620,640,882,1620,1604,386,386,1604,1604,512,1648,552,1430,1604,386,640,1604.0,1067.0,512.0,1992.0,640.0,640.0,1067.0,512.0,8.0,8.0,1067.0,1721.0,1620.0,882.0,1048.0,386.0,1721.0,1620.0,386.0,882.0,640.0,1067.0,1048.0,386.0,640.0,1067.0,1992.0,512.0,1992.0,911.0,1048.0,882.0,1721.0,1721.0,1430.0,1648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1876,789,1296,373,653,653,653,103,653,103,373,1315,103,1315,1315,1735,1311,1296,373,1315,854,1315,587,373,1876,956,587,1311,1932,587,1735,1311,373,1311,1735,1315,1735,854,956,1296,587,1315,854,1315,854,789,1311,1311,587,1876,1876,1876,1735,854,373,1932,854,1315,1311,1315,587,103,956,373,103,1311,1735,956,1876,1311,956,1932,587,1315,373,373,1876,653,1932,1876,103,103,373,854,103,653,1315,1932,587,1876,587,373,1311,1932,1296,1876,956,1296,653,587,1932.0,587.0,1876.0,854.0,653.0,1296.0,587.0,587.0,1735.0,956.0,956.0,1296.0,587.0,1315.0,653.0,103.0,373.0,1311.0,1876.0,1932.0,373.0,1296.0,1932.0,1315.0,1876.0,587.0,956.0,653.0,956.0,1932.0,789.0,653.0,854.0,103.0,1876.0,1296.0,854.0,373.0,1311.0,1315.0,373.0,653.0,373.0,103.0,587.0,854.0,1932.0,373.0,373.0,103.0,789.0,1876.0,854.0,854.0,854.0,956.0,956.0,956.0,587.0,956.0,587.0,103.0,653.0,854.0,956.0,653.0,1296.0,587.0,653.0,854.0,103.0,1735.0,1735.0,1296.0,1932.0,1311.0,1315.0,653.0,653.0,1932.0,1315.0,854.0,1932.0,1315.0,1932.0,1296.0,587.0,1876.0,1932.0,956.0,1735.0,1735.0,854.0,1932.0,,,,,
19,1942,1833,229,953,1942,953,512,1833,1693,781,1942,1942,781,953,319,1939,1693,1693,1939,512,229,229,1973,1833,953,1016,1833,781,641,781,1693,1016,1016,1833,1833,1942,1693,641,953,319,953,229,1939,1939,1973,512,1942,781,229,1973,1942,1693,781,641,953,229,1833,1833,229,1973,1942,781,1942,229,1016,1942,781,1833,512,1693,319,512,1833,1016,1942,641,781,953,512,1942,1693,1939,1016,781,1973,1942,781,1973,1942,953,229,512,1942,1942,1833,319,319,781,781,1833,1693.0,1833.0,1973.0,641.0,229.0,319.0,1939.0,229.0,229.0,781.0,319.0,1016.0,641.0,319.0,1833.0,953.0,229.0,1942.0,1942.0,1693.0,953.0,1973.0,641.0,319.0,781.0,1833.0,1939.0,781.0,641.0,1942.0,781.0,1016.0,641.0,1939.0,319.0,229.0,512.0,781.0,229.0,1693.0,319.0,512.0,1942.0,512.0,512.0,1939.0,1833.0,1016.0,229.0,1973.0,1693.0,1939.0,1942.0,641.0,1939.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,104,1805,1774,781,220,1053,1547,175,1464,1805,737,781,781,175,724,1053,1547,966,4,1805,220,1805,175,175,781,1625,4,1805,724,1464,724,1794,1547,104,1794,220,724,4,220,1774,220,1547,104,104,724,1774,1053,1625,1794,737,1547,1794,104,1625,175,1547,966,724,104,4,724,781,175,1547,1053,4,104,1774,1794,1805,1053,175,1805,1547,966,1794,220,1547,1547,1774,724,1794,4,1805,1805,966,1774,724,1774,1464,104,737,1805,1774,737,1774,781,1547,104,1053,220.0,737.0,175.0,1794.0,966.0,4.0,1625.0,220.0,724.0,724.0,966.0,1547.0,1547.0,1774.0,1794.0,1625.0,966.0,1464.0,737.0,220.0,1774.0,724.0,1053.0,781.0,1794.0,781.0,1774.0,1794.0,104.0,737.0,220.0,175.0,966.0,1794.0,1625.0,220.0,220.0,1625.0,220.0,175.0,220.0,737.0,1774.0,1053.0,781.0,4.0,220.0,1053.0,1794.0,1805.0,1053.0,1794.0,737.0,781.0,1053.0,966.0,1805.0,1464.0,1794.0,175.0,1794.0,1053.0,220.0,1053.0,175.0,781.0,4.0,1774.0,966.0,1547.0,1625.0,4.0,1794.0,1053.0,1805.0,1547.0,175.0,4.0,1805.0,1774.0,220.0,175.0,1625.0,220.0,4.0,724.0,,,,,,,,,,,,,
21,1617,1336,84,84,898,84,592,1906,898,1722,84,1011,1103,898,1906,1103,1273,1906,592,1103,1273,592,1617,1906,84,1273,592,84,592,1103,1103,84,1906,84,1273,1011,1011,898,1617,1906,1906,1011,1103,592,898,1273,1722,1722,898,1722,1103,1273,1336,84,1011,1103,1011,1011,1273,84,1273,1273,1906,592,1273,1722,84,1722,1617,1722,1617,1617,1011,1103,1103,898,1336,898,1617,1722,84,1336,592,1011,1722,1103,1906,1273,1906,1617,1906,592,898,1103,898,1336,1336,1336,592,1273,1103.0,1617.0,898.0,1617.0,84.0,1617.0,1011.0,898.0,1336.0,84.0,84.0,84.0,1336.0,1722.0,1011.0,84.0,1617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1247,417,1247,366,1113,1321,584,584,417,1321,1247,1113,584,1113,1247,1630,1321,1113,584,366,417,1326,584,366,1326,584,1321,1247,1321,1630,1321,584,1785,1326,417,1247,1630,1785,1662,1321,366,1662,366,366,1785,1662,584,1321,1785,1630,1662,1247,1113,1326,1662,1113,1630,417,417,1326,1785,366,417,1113,1247,1321,1630,1321,417,417,366,1113,1326,1630,417,1247,1662,1326,366,366,366,366,1113,1785,366,1326,584,1326,1321,1630,366,1630,1662,366,366,1113,366,417,584,417,417.0,1247.0,1662.0,417.0,1326.0,1326.0,1662.0,417.0,1662.0,1326.0,417.0,417.0,1630.0,1630.0,1326.0,1247.0,1785.0,417.0,1785.0,584.0,584.0,1662.0,1785.0,1113.0,417.0,1326.0,1326.0,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,435,1545,1553,1553,1810,1545,79,330,330,152,79,152,1545,1599,977,1553,1810,977,977,1947,1599,330,1545,79,977,706,1599,1599,977,1545,1810,330,1553,161,161,79,2,1553,1553,152,977,1599,1810,161,161,1553,161,2,977,977,79,1810,1599,161,330,330,161,1545,1810,1599,435,2,1947,152,1545,706,977,161,152,2,152,330,1545,1553,152,161,435,1553,2,161,161,79,1545,435,330,977,1947,1947,977,977,2,330,1553,152,1553,1553,2,1553,977,2,2.0,330.0,1810.0,79.0,1553.0,161.0,330.0,1553.0,1553.0,2.0,1553.0,977.0,1553.0,152.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,900,1200,1290,1063,1140,1200,1140,1008,1153,1200,1290,1290,440,1200,364,1851,1200,1290,1063,1290,1063,1153,364,1063,1913,1153,1140,364,1798,900,1851,1908,1798,1913,1908,1798,305,606,440,606,440,1063,364,1908,1153,364,1063,1153,1008,305,900,1200,1063,1008,1153,1008,1290,1908,1798,1200,606,364,1008,1851,364,1008,364,1798,1200,606,1200,440,1008,1908,1200,1913,364,1798,364,606,440,305,1063,1851,1290,1908,1908,1798,364,1153,1290,1153,1290,1200,305,606,1140,1063,1908,305,1851.0,1008.0,1908.0,900.0,1140.0,1008.0,1153.0,364.0,606.0,1851.0,364.0,1008.0,440.0,1290.0,900.0,1008.0,1913.0,1153.0,1798.0,1913.0,1290.0,1908.0,1851.0,1200.0,1908.0,1140.0,305.0,1063.0,305.0,1913.0,1140.0,1913.0,1851.0,1200.0,1908.0,606.0,1290.0,440.0,440.0,364.0,1008.0,1140.0,440.0,1913.0,1200.0,1140.0,900.0,305.0,1200.0,364.0,364.0,1913.0,1908.0,900.0,1913.0,900.0,1153.0,1851.0,1008.0,1908.0,305.0,1851.0,1200.0,900.0,1200.0,1798.0,900.0,1200.0,1908.0,1008.0,1908.0,1140.0,1851.0,1140.0,1140.0,305.0,1140.0,1008.0,1200.0,1153.0,1200.0,305.0,305.0,1140.0,1153.0,1140.0,900.0,1063.0,1290.0,1908.0,1290.0,1140.0,1908.0,,,,,,
