,0,1,2,3
89,628,430,452,439
90,491,1848,409,291
91,711,1369,970,268
92,1396,561,498,1159
93,1603,1272,1461,1689
94,1815,1120,885,1580
95,1566,532,1407,213
96,1022,1261,1487,1581
97,112,112,95,1957
98,1912,452,1419,1891
99,263,954,262,302
100,923,64,863,937
101,1344,944,1403,306
102,52,1330,255,1272
103,1210,1278,247,1146
104,1109,1109,916,1108
105,1075,1075,1990,287
106,1800,136,845,1590
107,633,1968,1496,948
108,223,40,41,273
109,299,1030,44,1916
110,283,1936,1050,1727
111,436,380,1277,1080
112,1392,68,350,1069
113,1599,1599,1613,1689
114,795,830,1419,1908
115,49,1000,1420,452
116,1104,1286,288,64
117,410,1895,1198,1868
118,1960,1994,968,1975
119,43,1106,282,1771
120,194,636,1689,35
121,1115,1378,411,132
122,1822,1637,1357,1256
123,180,1521,1581,1849
124,1774,1580,556,1513
125,1479,1727,312,283
126,1637,1649,1256,329
127,523,893,1496,346
128,1399,1914,320,1944
129,242,283,714,249
130,360,970,944,1874
131,485,1895,312,488
132,240,1978,1050,281
133,133,897,1898,288
134,503,676,892,1904
135,1088,798,603,324
136,1310,661,1077,708
137,1438,1438,1820,1589
138,282,1772,218,92
139,1487,1018,1510,1521
140,997,997,281,970
141,493,1501,1330,1503
142,333,415,899,1000
143,221,217,294,1171
144,752,752,1294,694
145,904,1403,955,948
146,1398,1398,1514,1907
147,1908,1689,1992,965
148,992,1768,1403,653
149,723,1467,814,605
150,1681,1403,1394,1936
151,305,1272,1689,124
152,1415,1415,1936,948
153,953,547,1000,103
154,686,647,1621,1501
155,528,1407,1907,177
156,873,556,863,1580
157,140,140,255,161
158,1758,1758,1875,1637
159,1630,781,1845,715
160,1865,700,1956,1424
161,1424,1865,424,1576
162,37,37,549,144
163,922,894,694,1018
164,977,312,1772,955
165,1974,1974,1256,327
166,1950,350,1025,1727
167,1443,1109,1809,916
168,169,622,1387,151
169,1904,1904,538,1294
170,554,1905,844,1992
171,698,1953,1913,323
172,1430,1043,1912,1905
173,465,464,466,814
174,1403,1936,948,312
175,1184,773,706,1615
176,1694,1018,1500,944
177,1283,1304,1689,1271
178,949,1018,1904,1514
179,1069,1069,1689,1379
180,818,464,1689,838
181,1472,1330,1576,945
182,18,1580,812,1689
183,263,954,262,302
184,746,1932,330,1247
185,215,1710,603,324
186,949,1018,1904,1514
187,1452,1452,1457,273
188,253,1046,319,1049
189,1391,1907,1406,1905
190,496,1939,1272,1271
191,212,1407,213,1666
192,298,1276,796,176
193,1378,1018,515,694
194,1821,1821,57,374
195,1592,556,1087,64
196,964,1080,1930,304
197,1078,437,1880,1396
198,1782,1521,559,1487
199,1832,674,1895,1711
200,1633,1580,830,1861
201,1471,1471,737,1294
202,145,50,12,1350
203,942,31,1005,119
204,54,1521,1510,1050
205,1719,605,1111,603
206,832,35,1580,1272
207,988,1020,892,948
208,1240,1240,44,1403
209,1500,1521,1018,1514
210,347,1202,44,1240
211,683,132,1843,539
212,868,1580,556,635
213,479,479,1925,296
214,1297,44,1008,970
215,976,312,1920,970
216,744,744,502,1817
217,241,1316,502,1191
218,1725,1736,1062,999
219,1248,1689,632,603
220,673,656,1417,506
221,1712,1617,1513,1406
222,906,213,1421,531
223,1288,603,789,1069
224,1494,273,1336,460
225,1656,1018,572,1403
226,625,35,456,324
227,1915,1915,1727,1873
228,998,1025,1272,603
229,620,798,814,273
230,998,1025,1272,603
231,1349,1435,1514,132
232,1297,44,1008,970
233,113,281,1727,977
234,913,302,899,77
235,227,1501,273,35
236,1608,1322,541,383
237,1427,1895,485,1250
238,1262,1080,1689,1238
239,308,944,281,1050
240,505,292,1580,829
241,1523,1892,153,1840
242,1741,1333,1297,92
243,380,814,1614,430
244,265,328,857,1895
245,87,632,1501,1584
246,651,651,1957,1356
247,1184,773,706,1615
248,1185,1185,1323,1636
249,137,1403,955,294
250,478,150,1968,1020
251,808,690,132,1874
252,202,1018,222,1656
253,939,1772,1496,1845
254,916,1443,1109,1809
255,1293,1901,278,1202
256,272,1689,1272,35
257,1674,312,1936,280
258,552,713,1256,702
259,238,573,962,1617
260,750,1303,1716,810
261,1058,652,1080,1253
262,1618,615,603,814
263,1725,1736,1062,999
264,1985,538,1008,973
265,1218,1409,1333,1576
266,1885,1817,159,744
267,1587,57,1287,1584
268,358,358,786,1706
269,1794,165,56,714
270,824,1689,1573,35
271,475,475,1992,488
272,1430,1043,1912,1905
273,1846,1846,439,1245
274,501,1068,1727,1915
275,96,96,472,1461
276,1488,407,1330,1716
277,520,418,144,95
278,521,899,963,280
279,1263,1402,625,1948
280,1859,1859,749,1636
281,1602,1500,1905,1403
282,1472,1330,1576,945
283,1582,1068,1992,1033
284,1314,1159,603,1629
285,1689,35,843,789
286,718,718,556,1336
287,320,926,68,1944
288,209,1429,652,1557
289,614,602,878,484
290,402,233,829,1867
291,1563,789,1419,854
292,1344,944,1403,306
293,783,1895,1926,1018
294,1711,857,1895,1920
295,1387,312,1030,1895
296,1626,498,1880,1847
297,1950,350,1025,1727
298,938,944,1975,1510
299,264,263,665,767
300,733,99,273,1713
301,1295,694,218,1297
302,1778,1766,1294,1175
303,99,99,1496,1513
304,1492,605,1501,843
305,1715,290,312,1895
306,1574,1617,830,1419
307,1596,1584,615,273
308,1375,1514,515,915
309,505,292,1580,829
310,488,1186,944,1512
311,1962,253,1046,1186
312,936,977,1772,142
313,1318,1272,1689,1271
314,1947,1175,44,1294
315,557,1426,289,795
316,475,475,1992,488
317,1763,1763,604,1629
318,904,1403,955,948
319,36,696,258,1319
320,1830,1830,1198,1936
321,1352,1727,113,1766
322,1398,1398,1514,1907
323,654,1500,1487,515
324,11,74,35,1689
325,913,302,899,77
326,1309,1394,1975,1978
327,720,1557,1689,1580
328,975,1141,917,1784
329,1327,978,312,607
330,1945,948,281,694
331,1402,1402,830,1689
332,582,1355,1874,944
333,937,488,1914,894
334,89,89,312,772
335,1363,551,830,1907
336,214,695,939,152
337,633,1968,1496,948
338,10,10,1912,1905
339,1773,1513,1496,1905
340,1388,1107,676,1018
341,1704,1698,1573,1580
342,691,326,1905,1080
343,1389,515,8,1514
344,1011,1011,843,699
345,1924,1716,1330,363
346,1031,1175,538,1294
347,1529,1427,863,556
348,466,464,465,814
349,615,814,603,798
350,675,1617,1774,1874
351,452,1080,809,1419
352,535,1854,173,262
353,217,221,764,885
354,54,1521,1510,1050
355,1773,1513,1496,1905
356,1290,1290,322,1513
357,861,614,602,575
358,1058,652,1080,1253
359,1886,1886,1959,838
360,720,1557,1689,1580
361,865,130,1952,1289
362,1921,1580,841,731
363,1211,31,1163,942
364,825,1778,1766,781
365,1227,1227,90,1030
366,83,1716,1501,1330
367,196,1503,1580,1618
368,1087,153,1972,1705
369,815,343,674,1959
370,856,1653,853,742
371,1944,1513,559,1512
372,352,353,359,358
373,165,650,574,11
374,1521,1510,1500,1018
375,478,150,1968,1020
376,1993,1993,937,1917
377,980,1957,329,1989
378,703,273,460,324
379,1071,338,1481,1602
380,143,1186,955,338
381,1621,1621,148,1069
382,908,150,1835,1047
383,1633,1580,830,1861
384,1404,773,1184,706
385,1115,1378,411,132
386,1416,1409,1939,700
387,631,1493,628,814
388,1229,945,750,927
389,1244,95,1271,1905
390,1099,1113,1448,449
391,1337,290,602,964
392,381,589,1058,1253
393,1524,879,1879,1713
394,559,1521,727,222
395,1059,815,1895,674
396,1909,1396,101,1613
397,1052,312,734,201
398,1701,254,1940,1225
399,589,589,795,1272
400,315,315,1294,1507
401,1475,674,1959,1080
402,755,603,1689,1580
403,294,308,95,314
404,977,312,1772,955
405,165,650,574,11
406,1975,44,1978,1989
407,306,1193,1935,1845
408,1189,1590,887,1396
409,943,1689,1461,35
410,370,370,488,1506
411,1008,1904,694,1778
412,419,777,556,724
413,1408,1402,444,99
414,97,97,603,1503
415,106,488,1507,1894
416,1423,1505,1514,1510
417,351,312,1936,978
418,1376,1376,1334,1763
419,1669,467,1904,892
420,323,1580,826,1365
421,1560,1330,430,1716
422,1888,1501,603,814
423,273,324,1069,1336
424,559,1521,727,222
425,898,302,253,135
426,100,1718,1513,61
427,579,579,1698,556
428,1556,1556,136,498
429,34,976,92,1611
430,1746,970,1978,844
431,756,948,893,1205
432,1622,1689,35,1069
433,1145,1145,798,1111
434,1247,454,35,411
435,450,450,879,632
436,816,814,699,1689
437,221,217,294,1171
438,1683,1018,572,1975
439,1838,572,892,1018
440,492,1485,1436,1114
441,201,201,1487,312
442,1827,1580,1348,545
443,540,540,955,346
444,640,1265,1574,638
445,127,502,1985,1421
446,1194,95,978,948
447,1348,1796,899,1916
448,1602,1500,1905,1403
449,1910,66,700,1865
450,874,874,366,316
451,501,1068,1727,1915
452,909,909,452,878
453,781,892,1018,1778
454,1630,781,1845,715
455,21,21,461,1689
456,1684,648,1652,1510
457,1189,1590,887,1396
458,1866,1510,312,970
459,113,281,1727,977
460,447,1513,1617,1942
461,73,132,857,735
462,1682,636,164,829
463,1376,1376,1334,1763
464,205,237,977,1647
465,1982,71,63,919
466,411,1510,515,944
467,1547,944,656,1462
468,1237,1689,843,837
469,451,1513,386,734
470,887,1159,838,1689
471,1884,1394,1290,1514
472,927,1403,934,1409
473,609,1419,1344,331
474,1151,1151,977,1853
475,1787,31,1005,942
476,937,488,1914,894
477,1602,1500,1905,1403
478,342,949,1178,287
479,816,814,699,1689
480,1667,1667,1590,1847
481,914,694,1175,1841
482,1144,498,1396,1437
483,1771,1772,299,1917
484,1552,258,302,960
485,485,1895,312,488
486,617,605,632,603
487,12,1031,915,1512
488,1860,1403,1513,1845
489,322,1766,1290,1019
490,506,1496,731,556
491,177,1689,789,829
492,1150,1955,1143,1558
493,741,222,559,1409
494,821,821,1557,682
495,1594,1594,675,548
496,193,1763,1689,1419
497,668,1018,892,572
498,1023,1002,407,1981
499,1756,1774,425,1580
500,1483,380,324,995
501,1477,1944,1512,539
502,293,1689,1584,1573
503,1327,978,312,607
504,1179,1179,1182,1689
505,1192,561,1396,1159
506,935,1992,1050,978
507,1609,968,1892,1441
508,947,727,674,844
509,1169,1919,1008,1624
510,113,281,1727,977
511,526,362,692,1845
512,774,774,273,99
513,1544,955,1978,1550
514,1927,30,226,452
515,1610,1689,625,606
516,14,1018,1050,1895
517,728,251,1688,842
518,1087,153,1972,1705
519,1521,1510,1500,1018
520,78,641,1953,1780
521,338,1510,1500,92
522,1592,556,1087,64
523,1984,1865,1910,1716
524,422,635,1580,556
525,899,513,302,287
526,656,1547,1874,622
527,1733,150,392,587
528,1426,1905,201,1065
529,109,1272,1025,1689
530,412,1103,781,312
531,1754,293,1223,116
532,1845,1403,572,949
533,961,1008,1978,312
534,562,316,389,346
535,1376,1376,1334,1763
536,352,353,359,358
537,1381,1102,411,515
538,1723,1723,1978,1362
539,1662,1689,1503,843
540,180,1521,1581,1849
541,99,99,1496,1513
542,1407,1407,1689,212
543,375,375,1580,48
544,454,1513,35,1487
545,486,1261,1581,1691
546,1038,809,430,452
547,1091,1862,1186,319
548,923,64,863,937
549,1356,1514,1968,1878
550,1573,1689,35,814
551,1966,1968,287,781
552,638,694,1018,1904
553,1355,572,949,892
554,1006,1006,44,1297
555,388,611,1689,789
556,1352,1727,113,1766
557,442,1799,324,1419
558,96,96,472,1461
559,1877,892,694,1904
560,676,1175,1904,1388
561,1430,1043,1912,1905
562,1506,1861,218,1507
563,47,47,1493,628
564,451,1513,386,734
565,1797,1826,1159,838
566,1676,1676,1396,1590
567,1782,1521,559,1487
568,1928,1711,255,1959
569,1199,1081,1016,64
570,1022,1261,1487,1581
571,428,428,313,1303
572,1975,44,1978,1989
573,536,1994,1293,1916
574,367,1590,1330,1576
575,1881,1881,651,78
576,893,893,1796,1496
577,1548,837,192,879
578,625,35,456,324
579,1434,611,1959,1589
580,1161,1689,814,1069
581,285,1873,1778,781
582,665,1351,1513,1521
583,1068,1068,1580,1272
584,540,540,955,346
585,1574,1617,830,1419
586,1400,57,1159,1826
587,116,814,603,625
588,1637,1649,1256,329
589,946,280,944,346
590,360,970,944,1874
591,1757,1757,380,1058
592,209,1429,652,1557
593,311,1325,1510,336
594,1129,1129,1948,1513
595,199,1514,1008,1605
596,889,782,530,907
597,1987,1987,1162,1033
598,1754,293,1223,116
599,1751,888,1411,575
600,1193,162,306,1845
601,975,1141,917,1784
602,901,161,948,134
603,1186,488,944,336
604,636,1670,1689,798
605,1545,814,603,396
606,442,1799,324,1419
607,576,1396,561,1826
608,1469,498,845,1590
609,1510,1521,1500,1487
610,1447,706,773,997
611,1499,1499,892,150
612,1605,727,892,676
613,1821,1821,57,374
614,407,1488,1330,1716
615,1975,44,1978,1989
616,25,814,35,603
617,1041,1041,1080,85
618,1920,312,1936,1394
619,1434,611,1959,1589
620,365,365,1631,456
621,1657,985,1018,1521
622,318,318,1772,13
623,87,632,1501,1584
624,155,1661,212,1407
625,353,352,786,348
626,1057,556,1992,1068
627,667,290,1636,306
628,538,1175,694,1294
629,487,1580,176,1774
630,644,364,879,632
631,149,149,603,1688
632,853,885,1402,856
633,1816,1883,1083,1237
634,1787,31,1005,942
635,1367,1364,1496,675
636,117,1778,892,1838
637,1836,1580,263,181
638,639,349,1852,1202
639,1431,1895,1992,571
640,1230,885,1580,181
641,1436,1580,1120,59
642,1948,606,603,456
643,1406,1406,95,1417
644,989,1900,984,812
645,1354,1452,1457,632
646,412,1103,781,312
647,93,603,814,1689
648,955,1403,1487,1500
649,1732,1732,172,494
650,1073,863,1576,1162
651,1605,727,892,676
652,1321,1992,1244,1271
653,1270,1270,61,35
654,1121,773,1990,1162
655,1929,1727,970,1931
656,1908,1689,1992,965
657,1893,962,963,319
658,455,455,1843,820
659,1360,1360,1294,277
660,692,692,44,156
661,1570,1336,273,1457
662,621,621,1501,1584
663,1909,1396,101,1613
664,1690,555,383,1580
665,1905,1936,1513,312
666,1356,1514,1968,1878
667,1541,308,286,1496
668,929,934,927,1406
669,1840,253,1780,1918
670,1392,68,350,1069
671,567,1765,1264,1579
672,1269,1269,1258,841
673,7,892,1487,1936
674,388,611,1689,789
675,484,614,575,30
676,1063,1689,843,35
677,1595,1586,57,1027
678,1504,1689,1407,1673
679,1610,1689,625,606
680,1945,948,281,694
681,1040,1040,1873,259
682,1676,1676,1396,1590
683,254,254,0,433
684,70,273,632,814
685,1552,258,302,960
686,669,1455,38,1245
687,1645,625,435,1427
688,1850,44,694,1178
689,1720,44,944,1972
690,972,1593,1403,944
691,480,1981,440,575
692,785,785,302,1931
693,1059,815,1895,674
694,1500,1521,1018,1514
695,169,622,1387,151
696,247,1920,312,717
697,1836,1580,263,181
698,450,450,879,632
699,315,315,1294,1507
700,1484,1487,1593,1679
701,255,1403,1905,201
702,1824,1824,605,455
703,1534,597,721,572
704,1737,1737,1900,357
705,177,1689,789,829
706,366,984,324,1336
707,1849,857,1500,1487
708,1453,1453,1330,502
709,679,1139,1454,1119
710,832,35,1580,1272
711,1373,545,1159,1590
712,336,1186,309,1419
713,8,8,1297,1914
714,415,416,1921,562
715,1088,798,603,324
716,1857,1716,1330,407
717,604,1763,1416,1716
718,1234,64,1447,1581
719,497,1580,1719,456
720,238,573,962,1617
721,1805,197,615,1582
722,272,1689,1272,35
723,1661,155,1847,1880
724,1514,281,1018,1487
725,56,1240,351,915
726,1586,1689,843,798
727,1042,814,603,605
728,842,1573,273,1689
729,966,1325,538,1727
730,526,362,692,1845
731,234,234,944,270
732,324,273,1336,1069
733,858,1580,556,1774
734,1765,1403,162,346
735,1283,1304,1689,1271
736,1591,1591,1532,1972
737,979,1727,1175,1446
738,1121,773,1990,1162
739,1888,1501,603,814
740,423,1576,1330,863
741,981,1106,1102,1950
742,1751,888,1411,575
743,1649,1637,329,1758
744,514,1698,1689,1236
745,324,273,1336,1069
746,1223,1165,1852,675
747,1733,150,392,587
748,1091,1862,1186,319
749,1489,1952,262,1256
750,1854,173,262,600
751,1529,1427,863,556
752,1681,1403,1394,1936
753,1297,44,1008,970
754,247,1920,312,717
755,625,35,456,324
756,661,1310,1077,440
757,1929,1727,970,1931
758,1726,1726,572,1020
759,1597,856,365,1041
760,704,1905,1513,1510
761,1394,1936,892,1403
762,387,809,430,631
763,1479,1727,312,283
764,1230,885,1580,181
765,917,910,632,1900
766,1662,1689,1503,843
767,1849,857,1500,1487
768,1448,1113,111,1918
769,1743,1743,1901,1975
770,902,892,844,312
771,1466,317,1668,641
772,1672,1457,1631,632
773,421,1128,1092,1068
774,345,763,472,1080
775,1787,31,1005,942
776,181,1836,885,1580
777,1829,340,814,1580
778,268,1008,970,312
779,334,939,221,294
780,1572,1877,1018,1008
781,1193,162,306,1845
782,1425,1425,1493,809
783,905,425,955,1873
784,1387,312,1030,1895
785,190,670,775,1151
786,1419,1402,1905,452
787,1497,605,330,625
788,1879,1959,1272,1689
789,32,1521,454,1500
790,1253,1253,526,900
791,724,635,21,556
792,396,396,789,625
793,200,1865,700,688
794,1810,1033,1903,613
795,1693,1190,270,599
796,638,694,1018,1904
797,1667,1667,1590,1847
798,1608,1322,541,383
799,1154,366,856,444
800,1461,1689,843,1272
801,1429,1584,615,814
802,1418,1139,1454,1119
803,824,1689,1573,35
804,1541,308,286,1496
805,1339,1406,1513,1944
806,995,995,625,606
807,1451,1451,879,1142
808,1391,1907,1406,1905
809,1822,1637,1357,1256
810,440,809,273,625
811,1899,1286,295,1175
812,1636,809,452,1332
813,1772,1771,1975,977
814,1457,273,1336,632
815,1421,1514,1487,515
816,1595,1586,57,1027
817,1382,1444,843,35
818,1580,1631,1774,1258
819,165,650,574,11
820,1124,850,1640,1958
821,49,1000,1420,452
822,1978,970,44,1975
823,1213,1936,944,1403
824,847,1235,381,191
825,500,899,1448,1742
826,859,715,1727,1679
827,1484,1487,1593,1679
828,1567,1018,915,892
829,31,1005,942,1889
830,1001,1025,1080,1304
831,1945,948,281,694
832,876,192,1713,430
833,196,1503,1580,1618
834,313,1025,1080,331
835,1562,403,1930,909
836,145,50,12,1350
837,1710,1710,615,814
838,460,273,324,1584
839,1276,603,814,820
840,899,513,302,287
841,52,1330,255,1272
842,1083,33,1883,278
843,1453,1453,1330,502
844,1716,1716,838,606
845,488,1186,944,1512
846,1271,1272,1689,255
847,1155,1155,1906,1581
848,1395,91,99,1685
849,1545,814,603,396
850,534,534,355,84
851,307,603,255,1350
852,82,150,132,44
853,1696,1580,461,556
854,258,1552,36,1319
855,1230,885,1580,181
856,116,814,603,625
857,830,1689,789,1617
858,945,1716,1763,407
859,1000,1992,1307,1898
860,1104,1286,288,64
861,728,251,1688,842
862,582,1355,1874,944
863,1087,153,1972,1705
864,350,312,1905,1944
865,1433,315,944,1348
866,1251,467,892,1669
867,1321,1992,1244,1271
868,775,1898,1025,1611
869,1194,95,978,948
870,1275,1081,1033,635
871,140,140,255,161
872,1649,1637,329,1758
873,727,1018,1514,222
874,394,844,1727,659
875,1714,1113,1448,111
876,839,561,576,1396
877,1290,1290,322,1513
878,1200,1200,915,1989
879,63,71,1793,1546
880,883,312,1895,1905
881,1896,640,1265,830
882,1575,1454,1905,1900
883,777,452,1935,809
884,487,1580,176,1774
885,1144,498,1396,1437
886,1695,1396,1797,1590
887,576,1396,561,1826
888,1371,772,1417,1080
889,1928,1711,255,1959
890,804,1689,838,1272
891,1634,1634,978,1008
892,778,235,1851,1871
893,51,21,461,863
894,568,1078,1967,1396
895,634,605,273,324
896,1818,428,145,1048
897,248,734,1689,35
898,161,944,1403,1968
899,1265,559,638,1944
900,1307,1307,538,1137
901,1476,324,1501,625
902,872,1689,35,699
903,1009,1955,934,1743
904,1195,371,475,1939
905,943,1689,1461,35
906,339,330,1513,1510
907,943,1689,1461,35
908,1056,1403,944,1496
909,666,1689,1908,1461
910,1095,1241,1744,674
911,956,44,892,1050
912,811,811,611,1689
913,648,1684,467,1215
914,1044,538,312,844
915,20,1106,1468,1095
916,1536,1402,1847,442
917,1759,1778,312,1018
918,1015,948,1617,1496
919,1167,1167,1496,1403
920,427,427,324,603
921,1004,1004,1778,1018
922,1564,603,761,1689
923,1621,1621,148,1069
924,1514,281,1018,1487
925,1809,1108,1443,1766
926,111,944,1448,1496
927,1141,628,452,1080
928,877,877,309,1097
929,593,1968,61,633
930,1844,1844,1157,36
931,984,984,734,1304
932,1406,1406,95,1417
933,1677,1677,1303,1629
934,872,1689,35,699
935,734,1689,1513,1521
936,1302,1946,556,1617
937,1849,857,1500,1487
938,1483,380,324,995
939,773,706,1184,1132
940,780,784,1784,1773
941,1863,1863,1716,1576
942,905,425,955,1873
943,198,879,273,1457
944,1795,1795,814,798
945,1811,11,74,1513
946,184,789,1689,603
947,911,319,521,1186
948,1282,1282,694,1008
949,1192,561,1396,1159
950,911,319,521,1186
951,1403,1936,948,312
952,795,830,1419,1908
953,685,120,1304,61
954,1217,1593,1579,1590
955,142,1403,1020,944
956,319,253,1186,977
957,1481,734,1514,11
958,1025,1272,1080,1271
959,468,468,603,620
960,925,890,1496,1056
961,1155,1155,1906,1581
962,539,1843,35,1513
963,1111,1689,625,324
964,33,1083,179,44
965,388,611,1689,789
966,1523,1892,153,1840
967,1583,1583,603,1272
968,1019,322,1944,934
969,952,95,549,1758
970,1556,1556,136,498
971,695,1186,211,214
972,536,1994,1293,1916
973,1590,1396,1880,498
974,1453,1453,1330,502
975,740,1086,1449,1365
976,282,1772,218,92
977,1427,1895,485,1250
978,160,694,1294,538
979,16,830,1272,611
980,817,625,1402,452
981,1199,1081,1016,64
982,811,811,611,1689
983,1846,1846,439,1245
984,873,556,863,1580
985,1550,949,1180,1978
986,1882,1882,300,462
987,1333,1333,689,1510
988,1631,1580,35,1689
989,1916,1957,44,299
990,933,1222,1342,137
991,508,555,383,860
992,154,322,1892,1355
993,690,1713,625,462
994,1061,1272,502,1201
995,1473,977,1772,1873
996,155,1661,212,1407
997,1516,44,1975,944
998,1235,1334,425,1193
999,1288,603,789,1069
