title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year,listeners,playcount,tags
Apagon,La Calle Es Tuya?,Estopa,185.83465,0.62682132694,0.388752603404,0,9909,44574,pop
It Came Upon A Midnight Clear,27 Christmas Classics,Cristy Lane,142.70649,0.420615972388,0.337920750252,0,30,89,
Bitches For Breakfast,Boy's Life,Vodka Collins,119.30077,0.411789070053,0.406409656266,0,135,264,
The Law Gonna Step On You (1931),Twist It Babe (1931-1940),Bo Carter,162.24608,0.469671583464,0.357470403065,0,799,1841,
Crazy,Young Lust: The Aerosmith Anthology,Aerosmith,318.61506,0.87253659867,0.610731462904,1993,825155,4682664,"rock, classic rock, aerosmith, hard rock, 90s"
Down South Blues,I Ain't Gonna Be Worried No More 1929-1941,Sleepy John Estes,188.26404,0.519000072373,0.353035740145,1935,7731,13922,"blues, country blues, and carry me away, Awesome, Blues Harmonica Greats"
All For The Sake Of The Song,Long Way To Mexico,Roger Creager,277.55057,0.674519456573,0.441559082514,2003,446,2142,
Rumour (Abstract Hip Hop Mix),Magic Box,bel canto,78.49751,0.572338426759,0.368252038716,1996,1094,3024,"vocal, danceable"
He Don't Care (He's Stoned),20 Hot Licks Hits,Dan Hicks,159.9473,0.594138154394,0.383357050518,0,4,4,
18 De Noviembre,Gaitas Platinum,Maracaibo 15,171.98975,0.433953995167,0.314700469777,0,783,1749,"november, gaita zuliana"
The Second One,The Way I Feel,Remy Shand,250.77506,0.537849447116,0.36419124423,2002,7443,28133,"soul, Neo-Soul, dance, jazz, 90s"
One More Time (Kennedy Center Homecoming Version),Kennedy Center Homecoming,The Katinas,159.26812,0.606901382497,0.438932849542,0,170,277,
Rich Girl,Livetime,Daryl Hall & John Oates,216.34567,0.664924362444,0.496381145682,1976,228744,1123943,"pop, 80s, 70s, classic rock, soft rock"
Laakista humppa,Humppakonsertto,Elakelaiset,67.3171,0.508440336158,0.40514344687,1995,5282,23359,"humppa, finnish, humour, Schlager"
See What Tomorrow Brings,Arc Angels,Arc Angels,386.79465,0.588932085853,0.349366361109,1992,2535,9211,"blues, Arc Angels - See what tomorrow brings, missing you, backporch music, freaking depressing"
Coral Fang (Album Version),Coral Fang,The Distillers,129.59302,0.681090691743,0.488536125402,2003,1604,3000,"punk, metal, female, rock, alternative"
Ela Edo Kardia Mou,Aneta,Irini Merkouri,228.33587,0.396304067371,0.0,0,105,187,
Yo Soy Abacua,Algo Nuevo,Bobby Valentin,177.50159,0.405502992811,0.0,1970,262,442,
Let The Drummer Have Some,Fromohio,fIREHOSE,61.83138,0.552704814467,0.387008321794,1989,5135,13353,"drums, instrumental"
The Darkness (Komor Kommando Mix),Endzeit Bunkertracks - Act IV: The Alfa Matrix Selection,Zombie Girl,256.73098,0.639165318057,0.443395584874,2009,1329,4863,"powersynth, female vocalists, Awesome, spooky, Mellow"
Les Dépenaillés,Patamob,Klimperei,110.10567,0.394962500094,0.310087326213,0,13,16,
Te Necesito,Abrazame Fuerte,Angelica Maria,160.83546,0.437889503073,0.309901682843,0,31,37,
Put Down Your Weapons,Live In Paris,Yami Bolo,219.402,0.495502207103,0.322482577876,2000,129,343,
Love Me,Mini Monsters EP,Jars Of Clay,191.81669,0.749029874998,0.575501205145,2006,521,2707,jars rapidas
The Witching Hour,STORIES,John Mayall,262.79138,0.626803106327,0.405234690787,2002,193,536,
L'Amour Existe Encore,Toutes Les Femmes En Moi,Lara Fabian,229.72036,0.631702561609,0.458210741502,2009,1391,5369,
Underarms,Ba-Dop-Boom-Bang,Grandmaster Flash,190.17098,0.62797075309,0.455884678552,1987,1023,1916,"rap, Hip-Hop, hip hop, 80s"
Leather Prowler,Liars,Liars,265.09016,0.786359136836,0.4204126176,2007,49402,167097,"bleu electrique, post-punk, indie rock, expirimental, industrial"
Heut' Nacht,85555,Spliff,264.41098,0.543971486596,0.358685666234,1982,12920,37095,"Neue Deutsche Welle, 80s, german, rock, spliff"
Diamond Eyes (Album Version),Diamond Eyes,Deftones,188.26404,0.821697316739,0.60172975571,2010,1799,14057,"heavy, sad"
Siempre,La Noche Del Reptil,Reptil,220.3424,0.460062797921,0.26702622085,0,22,48,
Big Trouble Upstairs,Frequencies Fall,Pitch Black,283.32363,0.585387198606,0.429513639801,0,2792,10445,"electronic, dance, instrumental, ambient, Mellow"
One Thing,The Legend Of Floyd Jones,YZ,267.59791,0.509363726508,0.290403491356,0,26,55,
Talk Of The Town,Hold Your Fire,Firehouse,278.12526,0.651039380171,0.43497603179,1992,8240,23015,"hard rock, rock, hair metal, Firehouse, heavy metal"
Sometimes,Off The Wall - Ten Years of Wall of Sound,Les Rythmes Digitales feat. Nik Kershaw,297.45587,0.590816513592,0.376066361452,1999,39310,138600,"electronic, electro, House, 90s, electropop"
So Say I,Liar Liar,Mr Brown,147.1473,0.564979474326,0.0,0,47,60,
Será cuando regreses,Tributo a José Antonio Méndez,Noemí,178.23302,0.499308966696,0.442968188735,0,1,1,
The Story Of An Artist,The Late Great Daniel Johnston: Discovered Covered,Daniel Johnston,296.54159,0.713322146547,0.473613189375,1982,27594,106094,"indie, experimental, indie pop, singer-songwriter, acoustic"
Attic Room,Twinkle Echo,Casiotone For The Painfully Alone,188.94322,0.665322161906,0.394217198901,2003,14971,56624,mime taste
124 Stomp,Everything Is Everything,Azukx,438.90893,0.0592296165662,0.0,0,41,86,
A Movie Of A Placid Lake On A Moonless Night in September,The Opening Of Doors,Will Ackerman,384.60036,0.56433383862,0.387081084454,1992,574,1514,
Denk,Verdammtnochma!,Samy Deluxe,237.19138,0.705491779875,0.393457111376,2004,9163,31695,"Hip-Hop, hip hop, hamburg, Deutschrap, tiefgruendige texte"
Many Weapons Many Men,Criminal Class USA is Hush Hush Revolution,Criminal Class USA is Hush Hush Revolution,174.18404,0.433377271942,0.0,0,3,4,
Te Vas Angel Mio,Un Recuerdo Especial,Michael Salgado,212.63628,0.603575982815,0.318024619795,0,113,278,
Doodlin',The Incredible Kai Winding Trombones,Kai Winding,212.92363,0.430538907417,0.316354000822,1961,834,2110,"jazz fusion, jazz standards"
Wouldn't Last a Weeg,Meat the Weegs,The Weegs,171.57179,0.46756996643,0.0,0,35,129,
Human Being (1972 demo),Manhattan Mayhem (a history of the Dolls),New York Dolls,354.01098,0.717670524729,0.479308459338,0,22,48,
Hermitage,New Chautauqua,Pat Metheny,338.02404,0.725974866336,0.463979513898,1979,6843,23913,"jazz, Pat Metheny, instrumental, guitar, Fusion"
Stampede,Suck Out The Poison,He Is Legend,207.12444,0.744873719262,0.505012391947,2006,20978,109114,"loved, Southern Rock, post-hardcore, southern hardcore, Favorite"
All Hands On Deck part 2: Open Water [Album Version],Tales Don't Tell Themselves,Funeral For A Friend,228.64934,0.778830899993,0.593473085386,2007,205,666,
I Will Call Upon the Lord,Praise Keeper,Bill Murk,109.322,0.184250146825,0.0,0,6,29,
Rülpsen Sie Eine Hauptstadt,Günther,Tresenlesen,513.61914,0.298409678388,0.215021295324,1995,204,417,"kabarett, cabaret"
The Magic Violin,Wishful Thinking,Hot Club Of Cowtown,163.10812,0.55142730694,0.389847526573,2009,498,1515,
Untitled,Introspective,Brainchoke,53.81179,0.404756070159,0.26402710106,0,18,59,
Open Arms,Pacha Ibiza,Gary Go,217.86077,0.665964145179,0.451957690147,2009,16313,86234,"The Vampire Diaries, indie, singer-songwriter, Love, Vampire Diaries"
Stars (GROWTH Ultraviolence Mix),Blown Away,Ultraviolence,271.12444,0.499939220989,0.374449430497,0,86,143,
Chira,The Greek Folk Instruments:Santouri,Nikos Kalaintzis,314.01751,0.207491247323,0.0,0,7,25,
Tune In,Alle Tre [2 Cd],Cutting Edge,358.71302,0.44577274776,0.346419946826,0,13,45,
One Love,In A Mellow Mood,David Rose & His Orchestra,179.98322,0.369354252451,0.305024582249,2004,24,65,
Ma vie n'est pas la tienne (album),Au Féminin,Najoua Belyzel,237.71383,0.58078834985,0.0,2009,141,525,
Famous One,Take Everything,Seventh Day Slumber,265.82159,0.609181991921,0.509243098679,2009,3384,10666,"christian rock, worship"
I'm Glad,I'm Glad,Jennifer Lopez,224.39138,0.877119424278,0.56091265733,2002,116168,507057,"pop, rnb, jennifer lopez, dance, latin"
Chanson Populaire,Claude François_ Autrement Dit,Vincent Baguian,167.65342,0.572482617778,0.372229882276,0,345,754,"french, fip"
"Theme From ""Come September"" (LP Version)",Things & Other Things,Bobby Darin,155.6371,0.704411470237,0.469425907976,2003,349,384,"theme, September"
Carolyn & Barnabas,House Of Dark Shadows and Night Of Dark Shadows,Dark Shadows,79.80363,0.526356117708,0.24251484921,0,11,14,
Judge Harsh Blues (Tk. 1),Furry Lewis 1927 - 1929,Furry Lewis,151.97995,0.572500600682,0.368054038751,0,164,253,20s
Dangerously In Love Medley,The Beyonce Experience Live Audio,Beyoncé,419.70893,0.889460725348,0.619431422311,0,345,1417,beyonce
Army,The Omen,Tunsi,12.72118,0.473803925012,0.316721953486,0,0,0,
Danny,20 Of Her Best,Billie Jo Spears,124.9171,0.52371463697,0.384611083962,0,318,1426,country
Parallel Universe (Album Version),Californication,Red Hot Chili Peppers,269.34812,0.833967972053,0.576903815588,1999,722,2363,"alternative, 90s, best, Red Hot Chili Peppers, urlaub"
Parallel Universe (Album Version),Californication,Red Hot Chili Peppers,269.34812,0.833967972053,0.57620196628,1999,722,2363,"alternative, 90s, best, Red Hot Chili Peppers, urlaub"
Lullaby [With Ladysmith Black Mambazo] (Album Version),Awake,Josh Groban,152.0322,0.765357013064,0.755149913058,2006,908,2154,"vocal, Ballad, accapella, classical voice, Uno"
Walk On The Wild Side,On Your Sleeve,Jesse Malin,238.52363,0.755041349999,0.458592024908,2008,4318,10631,"fip, lou reed cover, The Devil and The Deep Blue Sea, Just Another Folk Singer, The Merch Grrls"
Magiki Vradia,Mine Mazi Mou Apopse,Irini Merkouri,230.21669,0.396304067371,0.0,0,53,83,"pop, soul, Love, relaxing, Ballad"
The Court,3 Couleurs : Blanc,Zbigniew Preisner,63.63383,0.639158707883,0.497544085149,1994,5573,16578,"Soundtrack, under two minutes, preisner, doSluchania, kolekcja"
Elsa,Chansons De France,Monique Morelli,196.44036,0.278066091612,0.198800845159,0,45,101,
Little Sunflower,Doin' The D,Alexander Zonjic,259.21261,0.354424650232,0.383914994714,0,900,2537,"nice, Smooth Jazz, 1052 Smooth Jazz"
Tear It Up (LP Version),Take It To Heart,Michael McDonald,267.83302,0.712675251311,0.563362693588,0,8,12,
If I Couldn't Hold Back The Dawn,Hey Joe,Carl Smith,156.55138,0.551434960117,0.351717751121,0,3,3,
Again (Instrumental),Again,Janet Jackson,232.202,0.881694731307,0.568201421807,1993,278,1015,
Radioland,Radioland,The Cate Brothers,273.8673,0.291433259678,0.190346162352,0,63,172,
Come On (Sessions@AOL Version),Sessions@AOL - EP,Ben Jelen,219.61098,0.630247495104,0.377904479782,0,547,630,"singer-songwriter, heart beat beat"
Forget Me Knots (Bailey Remix),Sound Advice / Forget Me Knots Remixes,Roni Size,397.08689,0.674160475385,0.478490732973,0,140,266,
The Benevolent Path,The Dystopia Journals,Vulture Industries,379.29751,0.517306573669,0.455495288804,2007,6581,31260,"Avant-garde Metal, black metal, metal, Progressive metal, Avant-Garde"
Voyage to eternal Life,Doomed Dark Years,Astarte,568.78975,0.53708829702,0.352919183632,1998,4203,12213,"melodic black metal, black metal, Symphonic Black Metal, gorg"
It Could Never Be You,Album,Bonita,288.57424,0.477963013508,0.427015342984,0,23,48,
Novakane,8WM/Novakane,Black Sheep,247.30077,0.761523183412,0.474795797088,0,1061,2576,"hip hop, soul, underground hip hop, True Hip Hop, native tounges"
Somewhere In Between,Power Packed,The Jackson Southernaires,338.12853,0.323008990953,0.311437640327,0,14,21,"somewhere in between, the jacksons southernaires"
God In My Bed,Live,K's Choice,183.09179,0.640757317218,0.451219236891,1998,24107,100087,"rock, alternative rock, female vocalists, indie, alternative"
Holli Holi Nach Kuriye,Best Of Golden Star,Malkit Singh,430.94159,0.48324306732,0.324430891993,2007,38,97,
Alma_ Corazón Y Vida,Alma_ Corazón Y Vida,Dyango,248.16281,0.478119091291,0.345045822859,0,1,1,
Baal's Hymn,In Bertolt Brecht's Baal,David Bowie,243.06893,0.865970006331,0.594733860303,1982,7649,24008,"Soundtrack, 80s, favorite songs, cover, orchestral"
No Hay Manera,Arroz Con Habichuela,El Gran Combo De Puerto Rico,271.64689,0.597531864612,0.0,2006,9912,17174,"salsa, bailable, bolero, el gran combo de puerto rico, son"
Looking For A Kiss,Spunk,Sex Pistols,190.74567,0.731184230413,0.549204383877,1977,305,630,
Defend You (Album Version),Discovering The Waterfront,Silverstein,208.16934,0.801136449608,0.605507135691,2005,84,363,
In My Hood (Explicit Album Version),Real Talk,Fabolous,319.92118,0.571681626575,0.54000775021,2004,649,760,"Hip-Hop, rap, rnb, Black, Love it"
St Patrick's An Dro,Un Galicien En Bretagne,Carlos Nuñez,213.89016,0.53570252813,0.384986116578,2003,1988,4671,"celtic, folk, bagpipe, world, medieval"
Life,Modern Heart Exhibit,Ill Harmonics,71.99302,0.50228868156,0.35683522051,0,89,191,
The Flight of the serpentarius,Sons of the Light,Bruno Sanfilippo,291.082,0.540971094599,0.371900479752,1991,196,415,
Focus,Focus / Backstage,DJ Isaac,497.13587,0.616453999652,0.458400493994,0,7433,16821,"techno, hardstyle, Hardtrance, hardcore, electronic"
No Such Thing As Control (Album Version),What Demons Do To Saints,Beneath The Sky,275.9571,0.720212051521,0.476300189711,2007,46,155,
Another Lover,Whatever Gets You Off,The Last Vegas,237.11302,0.633401189672,0.458549175939,2009,1956,7555,"hard rock, Garage Rock, alternative, cowbell, Stoner Rock"
My Baby (Feat. Kanye West),Damita Jo,Janet Jackson Featuring Kanye West,257.14893,0.881694731307,0.568201421807,2004,6049,29218,"Kanye West, rnb, 00s, janet jackson, pop"
Fear The Sea,Mandylion (Deluxe Edition),The Gathering,348.44689,0.780309850685,0.485682369161,0,37933,205042,"Gothic Metal, female vocalists, symphonic metal, Atmospheric metal, Female fronted metal"
2 + 2 = 5,The Best Of,Radiohead,198.47791,0.899934952232,0.604666876351,2003,536520,4208896,"alternative, alternative rock, rock, radiohead, indie"
The Last Man On Earth,Abominations,Schoolyard Heroes,202.00444,0.61675286484,0.370725817451,2007,3724,24493,"LastfmSC, metal, indie, alternative rock, female vocalists"
Beni Aglatma,Araba,Mustafa Sandal,202.9971,0.589136269578,0.409248013221,0,12403,42439,"Soundtrack, nostalgic, turkish, n-a, Mustafa Sandal"
Palavras,2 Em 1 (Dois Em Um),Nana Caymmi,233.24689,0.523633031781,0.348350022224,0,944,2376,bossa vocal
"Piano Sonata No. 29 in B flat major Op. 106  ""Hammerklavier"" (2005 Digital Remaster): II.     Scherzo (Assai vivace) - Presto",Beethoven: Piano Sonatas 29 & 32,Solomon,150.56934,0.629732488809,0.341265841356,0,9,10,
For All We Know,President Of Love,Glen Ricks,215.74485,0.329803210578,0.256562179758,0,8,10,
Rick's Cafe,The Platinum Collection,Christie Hennessy,246.15138,0.413959941743,0.316549460326,0,36,82,
Accept Me,The Harvey Averne Dozen,Harvey Averne,168.93342,0.414385653298,0.276997484962,0,392,981,
Coma,Labor Days,Aesop Rock,236.64281,0.83453858559,0.477310881067,2001,72548,282936,"hip hop, underground hip-hop, Hip-Hop, underground, rap"
Nothing To Hold Me,Doubt,Jesus Jones,201.16853,0.592472072956,0.420627401336,1990,6232,17759,"alternative, indie, electronic, electronica, rock"
Me Duele,A.B. Quintanilla III Presents Joe Lopez,Joe Lopez,199.36608,0.379371199559,0.272926796892,2004,216,437,
Testify,Love Songs,Phil Collins,392.82893,0.814506223599,0.584836888719,2002,25745,86183,"pop, 80s, british, rock, pop rock"
Firestarter,Put Your Hands Up! 4,The Prodigy,225.09669,0.638614022451,0.601436482837,1996,706394,4169909,"electronic, techno, dance, electronica, industrial"
Enslaved By Propaganda,Zen And The Art Of Total Fucking Destruction,Total Fucking Destruction,132.17914,0.510691871961,0.44324531259,2007,300,665,
Mohair Locker Room Pin-Up Boys,Ants Remastered Boxset,Adam Ant,226.5073,0.630382334147,0.454231156571,1998,1487,4818,"new wave, post-punk, new romantic, genre: hard rock, genre: punk rock"
Kaliforn-Eye-A (Feat. Mike Muir),When Angels and Serpents Dance,P.o.d,267.80689,0.859873311989,0.533085375157,0,4221,17953,Nu Metal
Rakkahin -Be My Love-,Virtuoso,Virtuoso,155.11465,0.558601919647,0.400624308692,0,11,13,
Telegrama,Baladas Do Asfalto e Outros Blue Ao Vivo,Zeca Baleiro,364.72118,0.610713219469,0.425126208212,2002,147123,938171,"mpb, brasil, zeca baleiro, brazilian, telegrama"
Don't Waste My Time,Empty Rooms,John Mayall,193.12281,0.680263752998,0.397517215821,1970,7980,16245,"blues, blues rock, harmonica, John Mayall, m rock"
Meteores mouvement de Chroniques de la lumier,Cycle de l'erance,Francis Dhomont,391.49669,0.44437243089,0.295332819545,0,93,156,
Phrase,New morning,Papa Wemba,308.74077,0.541968374734,0.417885348963,0,288,750,
Medicine,Apologize For Nothing,Bobaflex,151.43138,0.588781959369,0.415408951868,2005,5615,23237,"Nu Metal, hard rock, rapcore, rap metal, crybbage power"
Molten,Tectonic Plates 03,Digital Mystikz,299.49342,0.550032443468,0.417745326069,2006,23308,66091,"dubstep, electronica, wobble, electronic, DUB STEP"
From A Jack To A King,100 Country Classics,Ned Miller,128.26077,0.411045134617,0.310731085333,1963,15800,54308,"country, oldies, classic country, 50s, male vocals"
The Road Goes On Forever,The Road Goes On Forever (10th Anniversary Edition),The Highwaymen,282.33098,0.683341035978,0.468246835885,1995,28324,106853,"country, male vocalists, classic country, 1994, outlaws"
The Daddy,Gift Grub 7,Mario Rosenstock,277.75955,0.334542783657,0.0490343808485,0,37,58,
Sachmagehtsnoch,Die Pfütze des Eisbergs,Dendemann,221.98812,0.572051286962,0.450432129914,2006,25625,99633,"hip hop, german, Hip-Hop, rap, deutsch"
Zeno Beach,Zeno Beach,Radio Birdman,174.28853,0.617438461241,0.392977289303,2006,3016,7223,"rock, punk, favorites"
Take That!,Flow,Richard Smith,263.13098,0.34674451048,0.30678401697,0,106,207,
Love You to Pieces,Love You To Pieces,Lizzy Borden,232.98567,0.609819761152,0.419967935771,1985,4741,15969,"heavy metal, hard rock, Glam Metal, metal, hair metal"
The Climb/Paranoia,Humboldt Beginnings,The Pharcyde,247.11791,0.756063870843,0.491468881637,2004,1546,2864,Indie Hip Hop
Everyday,Both Sides,Phil Collins,343.43138,0.655921417588,0.578301633597,1993,50004,170786,"pop, Phil Collins, soft rock, 80s, pop rock"
It Takes A Village (To Raise A Nut) (Live),It's A Sorry World,Tim Wilson,154.27873,0.459797128838,0.349912611675,0,23,58,funny
Amour noir N 7,Piano Voix,Michèle Bernard,136.98567,0.448892805032,0.398442223726,2008,12,40,
Nostalgia,Antología... Emilio Tuero,Emilio Tuero,194.24608,0.316251606693,0.269410043151,0,89,410,
Need,Hold On,Tyrone Wells,204.59057,0.689793071149,0.377849172963,2005,18002,44647,"Mellow, singer-songwriter, chill, rock, sexy"
11th Street,The Dream,Open Hand,278.56934,0.614887588217,0.377828215446,2000,4157,16381,"indie, alternative, emo"
Dance Of Romance,Normal as the Next Guy,Knack,215.64036,0.589190725288,0.439438995527,0,1,2,
Over The River,Natural High,Bitty McLean,216.21506,0.595811746777,0.387113765389,1995,243,779,
Creep Live Version,Daylight,Maximilian Hecker,330.63138,0.621121051286,0.435684070209,0,124,400,"sad, singer-songwriter, piano, acoustic, cover"
Stop!,Joe Bonamassa Live From The Royal Albert Hall (Live Audio Version),Joe Bonamassa,356.04853,0.675919556522,0.511054353898,2009,51848,223279,"blues rock, blues, rock, joe bonamassa, guitar virtuoso"
Too Far From The Tree,Suffer The Martyrs,Angela Lashley,196.17914,0.104186986572,0.0,0,0,0,
Baby's Got A Habit,Nothing's Changed [Original Recording Remastered],Joe Lynn Turner,239.35955,0.620041694718,0.364975595396,0,725,2046,"hard rock, rock, 90s"
Tre sonetti di Petrarca: III. I' vidi in terra angelici costumi - sonnet 156,Liszt: 'Tre Sonetti di Petrarca' & First Settings of Victor Hugo,Dennis O'Neill,377.75628,0.272774044277,0.0,0,4,4,
Collide,Stop All The World Now (SPECIAL EDITION VERSION),Howie Day,277.002,0.830642317395,0.546054180066,2003,503429,2871240,"acoustic, singer-songwriter, pop, Howie Day, Collide"
Black Connect 3,Another Heist,Camp Lo,267.17995,0.655483478445,0.445216987441,2009,1384,3222,"Hip-Hop, rap, east coast rap, stream"
Jubilation T. Cornpone,Li'l Abner,Shelly Manne,190.74567,0.474329019699,0.0,0,102,248,
Dio Nisia,To Fili Tis Zois,Giorgos Sabanis,247.66649,0.255585292061,0.235989600294,0,6,7,
End Of The Beginning,A Beautiful Lie + 30 Seconds To Mars,30 Seconds To Mars,277.28934,0.909324833658,0.677087546712,2002,197107,1302583,"alternative rock, rock, 30 seconds to mars, alternative, Progressive rock"
Lookin' for My Baby,Best of 40's and 50's_ Vol. 16,Little Milton,175.82975,0.579424108456,0.386441097104,1994,4789,8877,"blues, rock n roll, country, funk, blues rock"
Toda Mi Vida,10 de Colección,Jay Pérez,201.32526,0.550103850256,0.38623768284,0,34,70,
The Way Of Love (West Coast Diaries Vol. 1 Album Version),West Coast Diaries Vol.1-cass.,Charlie Peacock,227.60444,0.481180211778,0.379495650569,0,15,25,
La Rosa,Enséñame,Bobby Pulido,187.97669,0.575844756561,0.426851853236,1996,3468,8958,
L'idole des femmes,Le Monde de Pierrot,Pierre Perret,143.46404,0.0185015424026,0.35297647202,1994,122,200,pierre perret
Slow And Low,King Of Rock,RUN-DMC,266.21342,0.686988954629,0.606630151729,1985,243,536,
Kicking And Screaming,Memory And Humanity,Funeral For A Friend,205.16526,0.85107300895,0.590449276812,2008,32425,205980,"post-hardcore, alternative rock, rock, powerful, punk"
Terraplane Blues,Terraplane,Scott Ainslie,208.1171,0.331226240641,0.226516083072,0,49,138,
The Harbour,Goodbye Bafana,Dario Marianelli,227.99628,0.613464932135,0.412115553459,2007,445,1072,"Soundtrack, italian"
All Or Nothing  (Wonderful World Album Version),To Have And To Hold,Chris Eaton,287.65995,0.486562643202,0.333663203605,0,6,11,
Life's Blood,Best Of,Eighteen Visions,171.12771,0.752365974098,0.440107996859,1997,3419,10806,"metalcore, metal, punk, hardcore punk"
Lift Jesus Up,Hear Our Prayers O Lord,The Jackson Southernaires,235.36281,0.323008990953,0.311437640327,0,5,11,
La Valse De La Cour (BOF Mayerling),Mayerling,Francis Lai,183.92771,0.552719818114,0.371711094041,0,17,23,
Goin' To The River,Live! (Digitally Remastered),Alice Cooper,210.54649,0.838924310507,0.607792751463,1982,3456,8243,"classic rock, rock, oldies, Alice Cooper, awesome slides"
Here We Go Again,Imitations Of Life,H-Town,238.94159,0.614275842953,0.398633286132,0,3439,5533,"jazzyslovedrnbsoul, H-Town, love my man"
La Bruja Chafa,El Cazador,Bobby Pulido,182.80444,0.575844756561,0.426851853236,1999,60,83,
Splitting The Seconds,Can the Mechanical Be Beautiful&?,Nightswimmer,279.19628,0.388676820312,0.0,0,12,21,
Best In LA,The Bucket List,Marc Shaiman,81.18812,0.510010870826,0.378442736545,2008,427,1430,"Soundtrack, score"
Min Xechnas (Forse),Ta Oriaotera Mou Tragoudia,Dakis,186.87955,0.336970427524,0.0,0,2,2,
The Sound From There,Burn Baby Burn,Norman Howard,417.48853,0.196312059984,0.0,0,48,127,
Shout For Joy  (Celtic Psalms Album Version),Celtic Psalms,Eden's Bridge,170.73587,0.467318921926,0.346683794514,0,24,50,EdensBridge
Locked Away,How To Measure A Planet?,The Gathering,203.49342,0.780309850685,0.485682369161,0,35263,205239,"Gothic Metal, Gothic, Female fronted metal, female vocalists, Progressive rock"
All Creatures Of Our God And King,Downtown Church,Patty Griffin,256.39138,0.716101705237,0.514523378441,2010,3556,11895,"christian, vocal, piano, Lo-Fi, minimal"
War,The People Vs.,Trick Trick / Obie Trice,266.78812,0.604479006972,0.390489535122,2005,1,6,
I Will Bless Your Name,Praise & Worship,Daryl Coley Featuring the New Generation Singers Reunion Choir,274.93832,0.450625272163,0.325831240487,0,17,45,
Endless Light,Endless Light,Erik Berglund,1815.2224,0.377034085128,0.336191155685,0,112,291,"Classical, a 2414 when"
Hi De Ho,Live! At The Desert Inn,Bobby Darin,352.20853,0.704411470237,0.469425907976,0,6,8,
Fast Eddie,Gift,Mario Rosenstock,136.46322,0.334542783657,0.0490343808485,0,12,16,
Hold On To Freedom,Space & First Takes,Lee Michaels,299.4673,0.504565761875,0.349488482362,0,490,1071,organickeys
Playgirl's Love,The First Family of Soul: The Best of The Five Stairsteps,The Five Stairsteps,132.70159,0.543161423105,0.388416224237,0,905,2754,"soul, northern soul, sweet, Old School soul, somafm"
This Is My Life,Road Rockets,Rita Chiarelli,252.682,0.404823303308,0.288050285376,1992,140,345,"rock, blues"
Make A Move On Me,The Very Best Of Euphoric Dance Breakdown,Joey Negro,535.69261,0.600274910298,0.413159858773,2005,36762,154814,"House, dance, electronic, funky house, club"
A Void Of Lifeless Dreams,A Legacy Of Evil,Limbonic Art,293.04118,0.608641330678,0.443334893719,0,13495,45050,"black metal, Symphonic Black Metal, melodic black metal, metal, Norwegian Black Metal"
La Maquina Del Sabor,Salsa All Stars V,Fruko Y Sus Tesos,264.61995,0.533724476939,0.370747683691,0,594,1168,"latin, good, colombian, salsa, latin salsa"
