,0,1,2,3
120,1352,1727,113,1766
121,414,414,1238,734
122,30,614,403,1927
123,1909,1396,101,1613
124,1861,1935,1506,1186
125,1939,254,1716,1416
126,420,420,1307,1907
127,1951,1051,68,1387
128,1828,1272,603,1080
129,290,1715,1895,351
130,307,603,255,1350
131,1454,1454,679,1575
132,1013,1005,156,925
133,1492,605,1501,843
134,1808,63,1793,71
135,27,27,452,611
136,1658,1658,777,1631
137,1551,1551,551,926
138,1934,1272,1603,555
139,166,1202,1978,1180
140,1099,1113,1448,449
141,1837,1862,1365,1256
142,25,814,35,603
143,558,1684,648,639
144,428,428,313,1303
145,1797,1826,1159,838
146,1205,694,944,299
147,327,603,316,275
148,229,1768,1107,441
149,1151,1151,977,1853
150,1143,1558,1955,1825
151,1054,1461,35,699
152,667,290,1636,306
153,1272,1025,35,1689
154,1237,1689,843,837
155,1045,1487,1325,268
156,1346,919,1982,63
157,1339,1406,1513,1944
158,954,302,263,44
159,1466,317,1668,641
160,1654,319,1402,1893
161,1141,628,452,1080
162,981,1106,1102,1950
163,1989,1975,1978,44
164,1075,1075,1990,287
165,1555,1555,1417,618
166,1400,57,1159,1826
167,1448,1113,111,1918
168,1339,1406,1513,1944
169,481,1046,978,1049
170,62,549,147,1141
171,386,386,1069,814
172,1830,1830,1198,1936
173,184,789,1689,603
174,1085,1307,1271,336
175,1195,371,475,1939
176,1283,1304,1689,1271
177,1463,555,1992,383
178,618,1513,1487,1679
179,1172,1182,104,906
180,777,452,1935,809
181,78,641,1953,1780
182,737,1205,315,976
183,1116,885,456,1580
184,371,1939,1865,424
185,1013,1005,156,925
186,1822,1637,1357,1256
187,1407,1407,1689,212
188,414,414,1238,734
189,103,1000,890,1186
190,1653,856,1825,1024
191,570,132,1527,1202
192,1378,1018,515,694
193,1853,1403,944,538
194,1915,1915,1727,1873
195,119,1510,1521,515
196,300,316,281,308
197,522,11,1944,74
198,1532,1362,1914,894
199,1087,153,1972,1705
200,1913,1913,1487,854
201,1620,606,549,603
202,1358,1861,1908,319
203,637,1348,80,922
204,1069,1069,1689,1379
205,1809,1108,1443,1766
206,1639,1000,899,521
207,352,353,359,358
208,158,1780,95,1271
209,1591,1591,1532,1972
210,1165,1223,1140,552
211,378,1580,374,841
212,676,1175,1904,1388
213,1778,1766,1294,1175
214,1434,611,1959,1589
215,1483,380,324,995
216,1621,1621,148,1069
217,59,1992,1744,1000
218,1767,1767,1736,955
219,176,1843,268,87
220,1506,1861,218,1507
221,1610,1689,625,606
222,1690,555,383,1580
223,1330,1330,1716,407
224,1349,1435,1514,132
225,284,1272,324,273
226,1747,135,1766,745
227,1179,1179,1182,1689
228,1605,727,892,676
229,843,1689,1520,1069
230,515,1018,1514,1510
231,332,1778,1426,1755
232,676,1175,1904,1388
233,631,1493,628,814
234,1638,1025,1080,934
235,851,273,324,854
236,754,754,751,391
237,1949,918,454,1898
238,246,246,1865,700
239,108,1925,1880,1765
240,1622,1689,35,1069
241,1380,1628,820,610
242,1763,1763,604,1629
243,1285,1215,1919,1478
244,1678,1713,1689,1716
245,289,1727,1900,312
246,1094,1403,312,294
247,1464,1464,1993,650
248,217,221,764,885
249,1488,407,1330,1716
250,1565,452,602,1025
251,863,863,556,1345
252,1492,605,1501,843
253,435,1689,854,35
254,109,1272,1025,1689
255,1045,1487,1325,268
256,1047,1359,1387,1030
257,1967,1925,587,1256
258,1368,1394,1261,1681
259,648,1684,467,1215
260,1403,1936,948,312
261,790,790,1492,814
262,254,254,0,433
263,958,44,694,1755
264,1386,1316,1840,315
265,1176,1140,1869,642
266,1715,290,312,1895
267,492,1485,1436,1114
268,1513,1513,1510,1521
269,671,1514,1481,1521
270,1090,1797,871,1067
271,1489,1952,262,1256
272,992,1768,1403,653
273,1290,1290,322,1513
274,167,1487,515,1415
275,1537,282,1513,454
276,343,343,1080,1272
277,960,1500,1978,425
278,385,200,1797,829
279,1129,1129,1948,1513
280,1323,1323,1909,1558
281,732,1081,724,1276
282,875,1909,1143,934
283,1066,1180,538,962
284,1686,1060,615,603
285,1392,68,350,1069
286,822,832,553,838
287,1328,1328,1297,997
288,30,614,403,1927
289,217,221,764,885
290,493,1501,1330,1503
291,150,1018,222,1020
292,1431,1895,1992,571
293,1321,1992,1244,1271
294,1296,781,915,892
295,502,1201,1272,1246
296,1495,211,316,255
297,1171,885,253,456
298,60,286,1365,1869
299,845,1590,1241,674
300,536,1994,1293,1916
301,28,1867,561,951
302,981,1106,1102,1950
303,84,1995,1975,150
304,351,312,1936,978
305,1270,1270,61,35
306,820,605,789,455
307,1235,1334,425,1193
308,655,655,1457,551
309,728,251,1688,842
310,1939,254,1716,1416
311,1934,1272,1603,555
312,934,1019,929,927
313,1605,727,892,676
314,379,380,652,1716
315,967,275,1939,556
316,690,1713,625,462
317,124,305,705,606
318,653,1768,281,948
319,1589,611,1411,1959
320,1035,1944,455,854
321,619,879,603,1501
322,414,414,1238,734
323,1246,502,1749,1855
324,873,556,863,1580
325,1047,1359,1387,1030
326,428,428,313,1303
327,1987,1987,1162,1033
328,1291,1291,1632,603
329,1352,1727,113,1766
330,1024,1024,35,327
331,529,1407,1840,253
332,1957,1916,44,1755
333,711,1369,970,268
334,1133,1802,1219,1881
335,1561,1927,439,602
336,776,1972,1297,1995
337,601,1080,1895,1581
338,473,473,1403,255
339,1386,1316,1840,315
340,1650,1402,589,192
341,1796,892,44,1957
342,221,217,294,1171
343,589,589,795,1272
344,138,138,1780,1532
345,683,132,1843,539
346,1606,1606,177,556
347,483,483,919,1546
348,1791,173,235,109
349,1944,1513,559,1512
350,1579,1426,312,1965
351,21,21,461,1689
352,1186,488,944,336
353,1703,1772,392,1784
354,1421,1514,1487,515
355,636,1670,1689,798
356,1034,899,885,338
357,512,1992,289,1900
358,112,112,95,1957
359,1873,312,1294,1727
360,1359,1047,1994,1049
361,1091,1862,1186,319
362,960,1500,1978,425
363,1983,1983,1294,538
364,1143,1558,1955,1825
365,113,281,1727,977
366,1066,1180,538,962
367,87,632,1501,1584
368,1573,1689,35,814
369,1816,1883,1083,1237
370,1050,1904,944,1403
371,1554,1879,1167,1868
372,1522,201,734,1689
373,1837,1862,1365,1256
374,979,1727,1175,1446
375,396,396,789,625
376,425,95,302,1874
377,1836,1580,263,181
378,555,1992,1025,832
379,886,1689,838,814
380,689,1521,1510,1778
381,1075,1075,1990,287
382,1532,1362,1914,894
383,123,1580,830,253
384,1523,1892,153,1840
385,757,329,954,1637
386,1531,789,830,1513
387,1162,1162,1177,1742
388,329,44,1030,299
389,957,1979,914,1346
390,85,85,35,843
391,1322,1322,1452,1910
392,744,744,502,1817
393,1980,1980,138,1995
394,959,959,1989,1355
395,753,753,349,1362
396,1922,262,1978,172
397,980,1957,329,1989
398,1544,955,1978,1550
399,608,273,1336,324
400,1596,1584,615,273
401,1186,488,944,336
402,1172,1182,104,906
403,552,713,1256,702
404,1330,1330,1716,407
405,580,582,1978,978
406,1349,1435,1514,132
407,1753,1261,1689,854
408,1939,254,1716,1416
409,267,267,237,1517
410,1313,1313,1286,984
411,1116,885,456,1580
412,368,368,1673,1584
413,1872,316,893,1541
414,1132,773,706,1990
415,214,695,939,152
416,826,789,1689,1580
417,729,1689,1673,1614
418,684,615,603,620
419,1205,694,944,299
420,1650,1402,589,192
421,253,1046,319,1049
422,1217,1593,1579,1590
423,1058,652,1080,1253
424,909,909,452,878
425,1323,1323,1909,1558
426,1329,1403,1936,1713
427,1893,962,963,319
428,305,1272,1689,124
429,637,1348,80,922
430,725,761,552,1999
431,400,814,605,789
432,1041,1041,1080,85
433,309,1496,1935,336
434,387,809,430,631
435,902,892,844,312
436,1102,1381,515,1103
437,1907,1905,1487,1513
438,813,35,1689,872
439,126,978,1975,1772
440,1365,1580,1908,1271
441,1432,967,456,217
442,706,773,997,1990
443,1049,1294,253,44
444,1798,1746,940,970
445,1909,1396,101,1613
446,1467,723,814,605
447,1022,1261,1487,1581
448,350,312,1905,1944
449,949,1018,1904,1514
450,118,118,472,879
451,1107,1388,44,1294
452,137,1403,955,294
453,1101,1586,1027,556
454,832,35,1580,1272
455,1796,892,44,1957
456,385,200,1797,829
457,623,1411,772,888
458,107,290,27,772
459,1103,694,1175,1294
460,1081,863,1093,1033
461,70,273,632,814
462,551,524,787,1753
463,733,99,273,1713
464,953,547,1000,103
465,1370,304,1912,602
466,755,603,1689,1580
467,1751,888,1411,575
468,1884,1394,1290,1514
469,950,1580,826,461
470,841,1580,830,1689
471,559,1521,727,222
472,1964,1964,1989,1916
473,1488,407,1330,1716
474,941,1877,1510,271
475,794,1905,789,603
476,332,1778,1426,1755
477,1458,1458,1487,538
478,723,1467,814,605
479,592,603,1948,1580
480,1451,1451,879,1142
481,1390,1319,1883,1713
482,1041,1041,1080,85
483,277,1957,218,1527
484,1646,1951,68,1270
485,154,322,1892,1355
486,968,894,302,1462
487,297,50,1286,948
488,1539,789,838,814
489,1827,1580,1348,545
490,1266,452,628,1419
491,1496,1496,948,301
492,1808,63,1793,71
493,439,439,628,878
494,421,1128,1092,1068
495,1078,437,1880,1396
496,1408,1402,444,99
497,599,1416,1948,823
498,1699,51,21,1090
499,1593,1403,944,1487
500,818,464,1689,838
501,175,1689,6,620
502,733,99,273,1713
503,568,1078,1967,1396
504,618,1513,1487,1679
505,779,779,1388,1326
506,1710,1710,615,814
507,437,1880,1847,1590
508,105,105,971,927
509,1489,1952,262,1256
510,872,1689,35,699
511,1005,31,1889,942
512,285,1873,1778,781
513,686,647,1621,1501
514,208,57,498,1429
515,826,789,1689,1580
516,1991,892,1931,1975
517,1266,452,628,1419
518,1117,863,1345,433
519,1456,983,1698,522
520,528,1407,1907,177
521,1548,837,192,879
522,140,140,255,161
523,355,315,1904,970
524,1106,1300,556,1617
525,1068,1068,1580,1272
526,601,1080,1895,1581
527,1488,407,1330,1716
528,1371,772,1417,1080
529,1533,899,409,280
530,773,706,1184,1132
531,1198,1936,674,312
532,328,328,1936,1778
533,851,273,324,854
534,468,468,603,620
535,1748,1748,1076,1080
536,1836,1580,263,181
537,1211,31,1163,942
538,1388,1107,676,1018
539,69,102,620,6
540,1549,798,636,1689
541,128,57,1396,887
542,612,1905,1403,572
543,1356,1514,1968,1878
544,1315,1847,1590,498
545,1684,648,1652,1510
546,62,549,147,1141
547,1346,919,1982,63
548,946,280,944,346
549,1254,1603,1025,1272
550,679,1139,1454,1119
551,1543,1883,1598,1716
552,314,249,1403,312
553,1803,452,628,430
554,1759,1778,312,1018
555,729,1689,1673,1614
556,132,1521,1050,844
557,466,464,465,814
558,1705,1972,1936,833
559,1604,944,1403,1978
560,274,1772,1868,1050
561,1806,1848,1372,1083
562,1135,1134,1140,1915
563,556,556,1774,1304
564,1719,605,1111,603
565,1083,33,1883,278
566,506,1496,731,556
567,1642,538,502,979
568,1426,1905,201,1065
569,956,44,892,1050
570,1840,253,1780,1918
571,1778,1766,1294,1175
572,1768,441,781,1972
573,1654,319,1402,1893
574,1136,1303,1276,1444
575,1608,1322,541,383
576,1734,1581,1261,1691
577,717,312,970,278
578,1273,1766,1486,1778
579,705,1417,35,1774
580,1531,789,830,1513
581,1345,863,171,254
582,1789,1689,830,1402
583,1432,967,456,217
584,703,273,460,324
585,1774,1580,556,1513
586,1381,1102,411,515
587,360,970,944,1874
588,34,976,92,1611
589,76,76,1200,218
590,751,751,335,1022
591,475,475,1992,488
592,822,832,553,838
593,236,236,1636,290
594,867,603,615,814
595,1509,456,273,1501
596,561,1396,838,1159
597,122,315,968,302
598,21,21,461,1689
599,57,1396,1501,606
600,1551,1551,551,926
601,952,95,549,1758
602,1521,1510,1500,1018
603,11,74,35,1689
604,1704,1698,1573,1580
605,40,41,1457,1898
606,1890,135,139,44
607,1323,1323,1909,1558
608,884,1448,1113,1555
609,399,883,1949,1905
610,398,1033,139,1442
611,1271,1272,1689,255
612,1100,1416,66,1865
613,608,273,1336,324
614,264,263,665,767
615,1582,1068,1992,1033
616,1788,997,1742,309
617,1083,33,1883,278
618,1011,1011,843,699
619,78,641,1953,1780
620,1847,1727,962,1593
621,1350,307,549,705
622,1484,1487,1593,1679
623,393,393,1992,306
624,1590,1396,1880,498
625,1383,1303,1444,750
626,1384,1880,1847,1593
627,1684,648,1652,1510
628,827,1334,35,456
629,1395,91,99,1685
630,1538,1496,1773,1593
631,1192,561,1396,1159
632,936,977,1772,142
633,394,844,1727,659
634,1666,1407,212,1504
635,1415,1415,1936,948
636,244,632,1631,434
637,629,1122,1911,344
638,527,603,74,11
639,453,1397,1258,1581
640,1056,1403,944,1496
641,226,226,452,290
642,571,485,64,1081
643,1744,59,1272,1043
644,254,254,0,433
645,363,363,603,606
646,1519,1519,1521,1766
647,1994,1975,44,1978
648,1699,51,21,1090
649,281,1514,944,1978
650,1827,1580,1348,545
651,1382,1444,843,35
652,190,670,775,1151
653,608,273,1336,324
654,313,1025,1080,331
655,1374,1374,841,1727
656,1743,1743,1901,1975
657,1717,1717,1731,1968
658,1782,1521,559,1487
659,797,797,1780,294
660,1903,64,944,1326
661,898,302,253,135
662,11,74,35,1689
663,644,364,879,632
664,111,944,1448,1496
665,1215,1215,1018,949
666,1902,1760,211,538
667,424,1576,371,1716
668,1063,1689,843,35
669,1478,1173,1050,1325
670,1347,1155,1156,409
671,1033,64,488,1582
672,1187,603,1545,456
673,399,883,1949,1905
674,1313,1313,1286,984
675,730,1030,694,1205
676,1133,1802,1219,1881
677,117,1778,892,1838
678,397,322,734,1905
679,1608,1322,541,383
680,847,1235,381,191
681,669,1455,38,1245
682,1528,327,564,479
683,1042,814,603,605
684,438,438,498,1716
685,229,1768,1107,441
686,644,364,879,632
687,311,1325,1510,336
688,1691,843,1581,1261
689,1062,1062,1365,456
690,1680,1175,694,1086
691,1354,1452,1457,632
692,1647,312,1180,1018
693,1514,281,1018,1487
694,870,1396,576,561
695,1385,1734,1691,1350
696,1889,1005,31,929
697,11,74,35,1689
698,1900,1905,454,1513
699,1364,1367,660,1351
700,1985,538,1008,973
701,1395,91,99,1685
702,113,281,1727,977
703,1086,1680,36,1175
704,1179,1179,1182,1689
705,1737,1737,1900,357
706,1323,1323,1909,1558
707,1246,502,1749,1855
708,949,1018,1904,1514
709,1029,948,1904,1496
710,1683,1018,572,1975
711,1957,1916,44,1755
712,778,235,1851,1871
713,1868,1050,1403,1936
714,1666,1407,212,1504
715,340,1829,1467,273
716,799,1936,312,1510
717,927,1403,934,1409
718,100,1718,1513,61
719,149,149,603,1688
720,271,1936,1510,1403
721,1988,981,954,133
722,78,641,1953,1780
723,1476,324,1501,625
724,283,1936,1050,1727
725,1320,1419,625,809
726,1715,290,312,1895
727,175,1689,6,620
728,1255,789,603,1580
729,64,1442,1033,863
730,1266,452,628,1419
731,446,454,324,35
732,1363,551,830,1907
733,1034,899,885,338
734,1484,1487,1593,1679
735,1183,87,809,1493
736,961,1008,1978,312
737,1619,642,1219,1456
738,1918,1840,1462,1780
739,1576,1576,1409,1863
740,942,31,1005,119
741,1011,1011,843,699
742,1363,551,830,1907
743,748,879,1354,1486
744,735,1261,389,1905
745,1021,1186,885,797
746,1373,545,1159,1590
747,793,505,401,1359
748,347,1202,44,1240
749,144,456,455,603
750,364,1401,879,87
751,1425,1425,1493,809
752,980,1957,329,1989
753,37,37,549,144
754,73,132,857,735
755,437,1880,1847,1590
756,1619,642,1219,1456
757,114,1936,1905,1689
758,82,150,132,44
759,298,1276,796,176
760,1102,1381,515,1103
761,1773,1513,1496,1905
762,540,540,955,346
763,744,744,502,1817
764,725,761,552,1999
765,1164,1636,30,614
766,1968,1968,781,948
767,1053,30,439,602
768,52,1330,255,1272
769,719,830,1402,330
770,1678,1713,1689,1716
771,272,1689,1272,35
772,1970,1970,978,321
773,232,1407,212,1421
774,1683,1018,572,1975
775,423,1576,1330,863
776,1528,327,564,479
777,8,8,1297,1914
778,1697,1697,576,1396
779,1609,968,1892,1441
780,1021,1186,885,797
781,452,1080,809,1419
782,119,1510,1521,515
783,1411,96,814,1461
784,276,1512,1617,1496
785,1928,1711,255,1959
786,1895,844,312,1961
787,1930,602,964,403
788,852,852,1915,1961
789,900,652,556,526
790,1988,981,954,133
791,1074,1074,556,1365
792,265,328,857,1895
793,1136,1303,1276,1444
794,275,1580,603,456
795,806,806,1521,1919
796,1700,1936,1403,255
797,256,1584,625,324
798,689,1521,1510,1778
799,882,152,651,1640
800,1405,919,63,1402
801,228,1453,298,424
802,1275,1081,1033,635
803,683,132,1843,539
804,1794,165,56,714
805,1533,899,409,280
806,492,1485,1436,1114
807,135,135,1755,1916
808,1458,1458,1487,538
809,1484,1487,1593,1679
810,495,495,1111,625
811,589,589,795,1272
812,584,670,597,1854
813,1481,734,1514,11
814,206,206,338,1944
815,196,1503,1580,1618
816,1874,1874,95,944
817,1434,611,1959,1589
818,1096,1689,831,164
819,1086,1680,36,1175
820,662,662,30,614
821,773,706,1184,1132
822,662,662,30,614
823,969,213,1989,1975
824,1179,1179,1182,1689
825,1285,1215,1919,1478
826,219,219,1315,425
827,215,1710,603,324
828,1200,1200,915,1989
829,1015,948,1617,1496
830,1052,312,734,201
831,472,96,763,605
832,459,1867,1587,1141
833,465,464,466,814
834,1630,781,1845,715
835,1027,1689,35,872
836,753,753,349,1362
837,1488,407,1330,1716
838,1000,1992,1307,1898
839,195,1617,461,293
840,1606,1606,177,556
841,1016,396,603,1545
842,1854,173,262,600
843,868,1580,556,635
844,1391,1907,1406,1905
845,703,273,460,324
846,292,505,1274,1039
847,165,650,574,11
848,1689,35,843,789
849,1733,150,392,587
850,632,273,1501,1584
851,654,1500,1487,515
852,545,35,1580,1689
853,1239,1426,734,1878
854,1013,1005,156,925
855,332,1778,1426,1755
856,295,538,1904,694
857,513,899,409,287
858,169,622,1387,151
859,1459,1459,962,1066
860,570,132,1527,1202
861,537,1945,1680,1157
862,373,1689,843,699
863,557,1426,289,795
864,647,1402,1504,625
865,1804,1804,1826,136
866,1987,1987,1162,1033
867,839,561,576,1396
868,1945,948,281,694
869,422,635,1580,556
870,1847,1727,962,1593
871,120,1503,1304,1492
872,1338,1985,1512,1031
873,264,263,665,767
874,1577,873,1369,1033
875,461,461,764,1069
876,1816,1883,1083,1237
877,641,641,1328,650
878,1082,1082,1093,1514
879,1476,324,1501,625
880,189,1148,461,706
881,513,899,409,287
882,1477,1944,1512,539
883,1163,1162,1848,1211
884,1442,64,1033,1512
885,1286,1316,1175,1104
886,1344,944,1403,306
887,778,235,1851,1871
888,1035,1944,455,854
889,1982,71,63,919
890,1517,1487,1514,1018
891,760,1411,273,699
892,405,888,1751,403
893,904,1403,955,948
894,150,1018,222,1020
895,1313,1313,1286,984
896,1693,1190,270,599
897,1221,602,1214,1765
898,1502,892,467,24
899,451,1513,386,734
900,431,1584,1580,814
901,557,1426,289,795
902,738,1250,1419,622
903,354,354,1689,324
904,85,85,35,843
905,157,1773,509,632
906,1221,602,1214,1765
907,688,1865,1956,371
908,400,814,605,789
909,544,544,308,1861
910,373,1689,843,699
911,1443,1109,1809,916
912,652,1757,821,380
913,1419,1402,1905,452
914,1918,1840,1462,1780
915,285,1873,1778,781
916,1920,312,1936,1394
917,623,1411,772,888
918,1052,312,734,201
919,1412,1689,1557,729
920,334,939,221,294
921,1326,1175,1904,538
922,1342,1342,602,1565
923,730,1030,694,1205
924,1464,1464,1993,650
925,1733,150,392,587
926,1812,1812,872,729
927,1088,798,603,324
928,663,663,1290,1689
929,232,1407,212,1421
930,902,892,844,312
931,148,1689,625,35
932,1927,30,226,452
933,872,1689,35,699
934,1292,241,1906,984
935,1099,1113,1448,449
936,1442,64,1033,1512
937,481,1046,978,1049
938,680,944,1593,286
939,323,1580,826,1365
940,170,386,1584,1799
941,1828,1272,603,1080
942,1781,488,1937,1033
943,625,35,456,324
944,1603,1272,1461,1689
945,1526,1689,798,625
946,1496,1496,948,301
947,532,994,213,1421
948,187,35,268,443
949,739,273,324,625
950,1761,262,795,885
951,1109,1109,916,1108
952,1541,308,286,1496
953,405,888,1751,403
954,164,164,838,843
955,1071,338,1481,1602
956,424,1576,371,1716
957,1353,1804,1590,1880
958,356,889,786,530
959,1333,1333,689,1510
960,461,461,764,1069
961,1989,1975,1978,44
962,1561,1927,439,602
963,453,1397,1258,1581
964,456,456,625,1689
965,900,652,556,526
966,1276,603,814,820
967,1472,1330,1576,945
968,80,944,1916,572
969,1571,680,1167,1524
970,1661,155,1847,1880
971,1331,1895,844,1261
972,1758,1758,1875,1637
973,430,628,809,1689
974,1315,1847,1590,498
975,518,830,680,1598
976,1893,962,963,319
977,147,843,809,1557
978,522,11,1944,74
979,524,551,787,1584
980,1420,1945,1050,948
981,1588,1068,556,1244
982,1174,1174,64,937
983,2,1819,389,316
984,804,1689,838,1272
985,1229,945,750,927
986,743,603,798,814
987,340,1829,1467,273
988,1358,1861,1908,319
989,863,863,556,1345
990,910,1419,917,1402
991,824,1689,1573,35
992,1106,1300,556,1617
993,1195,371,475,1939
994,244,632,1631,434
995,1964,1964,1989,1916
996,235,235,1791,1886
997,169,622,1387,151
998,403,439,1930,602
999,1392,68,350,1069
